path,file_mtime,model,task,market,strategy,gate,retrain,features,crosslag_mode,crosslag_gap,horizon,stride,test_start,test_end,n_hours,mae,rmse,smape
runs/p3_out/xgb_default_weekly_q1.json,2026-07-04 07:40,XGB-recursive-dam,price,dam,recursive,strict,weekly,calendar+lags+roll+resfc+loadfc+meteo+fuel+genlags+loadlags+other,,,24,24,2025-12-01T00:00:00,2026-02-28T23:00:00,2160,15.1974,22.2085,24.1588
runs/p4_out/ablation_direct_lgbm_q1/lgbm_price_dam_direct_default-dense.json,2026-07-04 10:13,lgbm_price_dam_direct_default-dense,price,dam,direct,strict,static,calendar+lags+dense+roll+resfc+loadfc+meteo+fuel+genlags+loadlags+other,,,24,24,2025-12-01T00:00:00,2026-02-28T23:00:00,2160,19.0034,27.3065,26.9294
runs/p4_out/ablation_direct_lgbm_q1/lgbm_price_dam_direct_default-fuel.json,2026-07-04 08:53,lgbm_price_dam_direct_default-fuel,price,dam,direct,strict,static,calendar+lags+roll+resfc+loadfc+meteo+genlags+loadlags+other,,,24,24,2025-12-01T00:00:00,2026-02-28T23:00:00,2160,19.5136,27.5643,27.4956
runs/p4_out/ablation_direct_lgbm_q1/lgbm_price_dam_direct_default-genlags.json,2026-07-04 08:26,lgbm_price_dam_direct_default-genlags,price,dam,direct,strict,static,calendar+lags+roll+resfc+loadfc+meteo+fuel+loadlags+other,,,24,24,2025-12-01T00:00:00,2026-02-28T23:00:00,2160,19.6874,27.2792,27.6208
runs/p4_out/ablation_direct_lgbm_q1/lgbm_price_dam_direct_default-loadfc.json,2026-07-04 08:17,lgbm_price_dam_direct_default-loadfc,price,dam,direct,strict,static,calendar+lags+roll+resfc+meteo+fuel+genlags+loadlags+other,,,24,24,2025-12-01T00:00:00,2026-02-28T23:00:00,2160,19.2268,27.1545,27.1833
runs/p4_out/ablation_direct_lgbm_q1/lgbm_price_dam_direct_default-loadlags.json,2026-07-04 08:36,lgbm_price_dam_direct_default-loadlags,price,dam,direct,strict,static,calendar+lags+roll+resfc+loadfc+meteo+fuel+genlags+other,,,24,24,2025-12-01T00:00:00,2026-02-28T23:00:00,2160,19.6208,27.5226,27.4226
runs/p4_out/ablation_direct_lgbm_q1/lgbm_price_dam_direct_default-meteo.json,2026-07-04 08:44,lgbm_price_dam_direct_default-meteo,price,dam,direct,strict,static,calendar+lags+roll+resfc+loadfc+fuel+genlags+loadlags+other,,,24,24,2025-12-01T00:00:00,2026-02-28T23:00:00,2160,19.9814,27.9633,28.2454
runs/p4_out/ablation_direct_lgbm_q1/lgbm_price_dam_direct_default-resfc.json,2026-07-04 08:08,lgbm_price_dam_direct_default-resfc,price,dam,direct,strict,static,calendar+lags+roll+loadfc+meteo+fuel+genlags+loadlags+other,,,24,24,2025-12-01T00:00:00,2026-02-28T23:00:00,2160,19.4509,27.0581,27.6801
runs/p4_out/ablation_direct_lgbm_q1/lgbm_price_dam_direct_default.json,2026-07-04 07:59,lgbm_price_dam_direct_default,price,dam,direct,strict,static,calendar+lags+roll+resfc+loadfc+meteo+fuel+genlags+loadlags+other,,,24,24,2025-12-01T00:00:00,2026-02-28T23:00:00,2160,19.4953,27.359,27.3566
runs/p4_out/ablation_direct_lgbm_q1/lgbm_price_dam_direct_lags-calendar-dense.json,2026-07-04 10:17,lgbm_price_dam_direct_lags-calendar-dense,price,dam,direct,strict,static,calendar+lags+dense,,,24,24,2025-12-01T00:00:00,2026-02-28T23:00:00,2160,19.1241,27.8866,27.7738
runs/p4_out/ablation_direct_lgbm_q1/lgbm_price_dam_direct_lags-calendar-genlags-loadlags.json,2026-07-04 09:46,lgbm_price_dam_direct_lags-calendar-genlags-loadlags,price,dam,direct,strict,static,calendar+lags+genlags+loadlags,,,24,24,2025-12-01T00:00:00,2026-02-28T23:00:00,2160,20.8778,28.7945,29.9988
runs/p4_out/ablation_direct_lgbm_q1/lgbm_price_dam_direct_lags-calendar-genlags.json,2026-07-04 09:24,lgbm_price_dam_direct_lags-calendar-genlags,price,dam,direct,strict,static,calendar+lags+genlags,,,24,24,2025-12-01T00:00:00,2026-02-28T23:00:00,2160,21.105,29.347,30.0306
runs/p4_out/ablation_direct_lgbm_q1/lgbm_price_dam_direct_lags-calendar-loadfc.json,2026-07-04 09:16,lgbm_price_dam_direct_lags-calendar-loadfc,price,dam,direct,strict,static,calendar+lags+loadfc,,,24,24,2025-12-01T00:00:00,2026-02-28T23:00:00,2160,20.0592,28.4759,29.2935
runs/p4_out/ablation_direct_lgbm_q1/lgbm_price_dam_direct_lags-calendar-loadlags.json,2026-07-04 09:31,lgbm_price_dam_direct_lags-calendar-loadlags,price,dam,direct,strict,static,calendar+lags+loadlags,,,24,24,2025-12-01T00:00:00,2026-02-28T23:00:00,2160,20.3322,28.6837,29.374
runs/p4_out/ablation_direct_lgbm_q1/lgbm_price_dam_direct_lags-calendar-resfc-genlags.json,2026-07-04 09:56,lgbm_price_dam_direct_lags-calendar-resfc-genlags,price,dam,direct,strict,static,calendar+lags+resfc+genlags,,,24,24,2025-12-01T00:00:00,2026-02-28T23:00:00,2160,20.9051,29.2798,29.6207
runs/p4_out/ablation_direct_lgbm_q1/lgbm_price_dam_direct_lags-calendar-resfc-loadfc-genlags-loadlags.json,2026-07-04 10:00,lgbm_price_dam_direct_lags-calendar-resfc-loadfc-genlags-loadlags,price,dam,direct,strict,static,calendar+lags+resfc+loadfc+genlags+loadlags,,,24,24,2025-12-01T00:00:00,2026-02-28T23:00:00,2160,20.9339,28.9389,29.6698
runs/p4_out/ablation_direct_lgbm_q1/lgbm_price_dam_direct_lags-calendar-resfc-loadfc.json,2026-07-04 09:38,lgbm_price_dam_direct_lags-calendar-resfc-loadfc,price,dam,direct,strict,static,calendar+lags+resfc+loadfc,,,24,24,2025-12-01T00:00:00,2026-02-28T23:00:00,2160,20.5362,28.8362,29.4175
runs/p4_out/ablation_direct_lgbm_q1/lgbm_price_dam_direct_lags-calendar-resfc.json,2026-07-04 09:09,lgbm_price_dam_direct_lags-calendar-resfc,price,dam,direct,strict,static,calendar+lags+resfc,,,24,24,2025-12-01T00:00:00,2026-02-28T23:00:00,2160,20.6612,29.083,29.6309
runs/p4_out/ablation_direct_lgbm_q1/lgbm_price_dam_direct_lags-calendar.json,2026-07-04 09:01,lgbm_price_dam_direct_lags-calendar,price,dam,direct,strict,static,calendar+lags,,,24,24,2025-12-01T00:00:00,2026-02-28T23:00:00,2160,20.2396,28.6811,29.308
runs/p4_out/ablation_direct_xgb_q1/xgb_price_dam_direct_default-fuel.json,2026-07-04 11:00,xgb_price_dam_direct_default-fuel,price,dam,direct,strict,static,calendar+lags+roll+resfc+loadfc+meteo+genlags+loadlags+other,,,24,24,2025-12-01T00:00:00,2026-02-28T23:00:00,2160,19.5609,27.6869,27.4022
runs/p4_out/ablation_direct_xgb_q1/xgb_price_dam_direct_default-genlags.json,2026-07-04 10:49,xgb_price_dam_direct_default-genlags,price,dam,direct,strict,static,calendar+lags+roll+resfc+loadfc+meteo+fuel+loadlags+other,,,24,24,2025-12-01T00:00:00,2026-02-28T23:00:00,2160,19.7682,27.48,27.6781
runs/p4_out/ablation_direct_xgb_q1/xgb_price_dam_direct_default-loadfc.json,2026-07-04 10:45,xgb_price_dam_direct_default-loadfc,price,dam,direct,strict,static,calendar+lags+roll+resfc+meteo+fuel+genlags+loadlags+other,,,24,24,2025-12-01T00:00:00,2026-02-28T23:00:00,2160,19.5885,27.5126,27.4111
runs/p4_out/ablation_direct_xgb_q1/xgb_price_dam_direct_default-loadlags.json,2026-07-04 10:54,xgb_price_dam_direct_default-loadlags,price,dam,direct,strict,static,calendar+lags+roll+resfc+loadfc+meteo+fuel+genlags+other,,,24,24,2025-12-01T00:00:00,2026-02-28T23:00:00,2160,19.8224,27.6509,27.7023
runs/p4_out/ablation_direct_xgb_q1/xgb_price_dam_direct_default-meteo.json,2026-07-04 10:57,xgb_price_dam_direct_default-meteo,price,dam,direct,strict,static,calendar+lags+roll+resfc+loadfc+fuel+genlags+loadlags+other,,,24,24,2025-12-01T00:00:00,2026-02-28T23:00:00,2160,19.8851,27.7425,28.0854
runs/p4_out/ablation_direct_xgb_q1/xgb_price_dam_direct_default-resfc.json,2026-07-04 10:42,xgb_price_dam_direct_default-resfc,price,dam,direct,strict,static,calendar+lags+roll+loadfc+meteo+fuel+genlags+loadlags+other,,,24,24,2025-12-01T00:00:00,2026-02-28T23:00:00,2160,19.277,26.9553,27.3271
runs/p4_out/ablation_direct_xgb_q1/xgb_price_dam_direct_default.json,2026-07-04 10:38,xgb_price_dam_direct_default,price,dam,direct,strict,static,calendar+lags+roll+resfc+loadfc+meteo+fuel+genlags+loadlags+other,,,24,24,2025-12-01T00:00:00,2026-02-28T23:00:00,2160,19.594,27.3467,27.4389
runs/p4_out/ablation_direct_xgb_q1/xgb_price_dam_direct_lags-calendar-genlags-loadlags.json,2026-07-04 11:04,xgb_price_dam_direct_lags-calendar-genlags-loadlags,price,dam,direct,strict,static,calendar+lags+genlags+loadlags,,,24,24,2025-12-01T00:00:00,2026-02-28T23:00:00,2160,20.5747,28.2479,29.6805
runs/p4_out/ablation_direct_xgb_q1/xgb_price_dam_direct_lags-calendar-resfc-loadfc.json,2026-07-04 11:02,xgb_price_dam_direct_lags-calendar-resfc-loadfc,price,dam,direct,strict,static,calendar+lags+resfc+loadfc,,,24,24,2025-12-01T00:00:00,2026-02-28T23:00:00,2160,20.5098,28.6153,29.2835
