block,run,mae,retrain,strategy,task,n_hours,window,algo,mode,spec,seed,note
c_load,summer_lgbm_rec_default,367.28627418478254,static,recursive,load,2208,summer,lgbm,rec,default,,
c_load,summer_lgbm_rec_default_dense,356.52415181159415,static,recursive,load,2208,summer,lgbm,rec,default_dense,,
c_load,summer_lgbm_rec_default_nogenlags_noloadlags,359.0081339221015,static,recursive,load,2208,summer,lgbm,rec,default_nogenlags_noloadlags,,
c_load,summer_lgbm_rec_default_noloadfc,367.28627418478254,static,recursive,load,2208,summer,lgbm,rec,default_noloadfc,,
c_load,summer_lgbm_rec_default_noloadlags,393.4445178894927,static,recursive,load,2208,summer,lgbm,rec,default_noloadlags,,
c_load,summer_lgbm_rec_default_nometeo,360.27209148550725,static,recursive,load,2208,summer,lgbm,rec,default_nometeo,,
c_load,summer_lgbm_rec_lags_calendar_loadfc,329.34169673913044,static,recursive,load,2208,summer,lgbm,rec,lags_calendar_loadfc,,
c_load,summer_xgb_dir_default,346.5051033967392,static,direct,load,2208,summer,xgb,dir,default,,
c_load,summer_xgb_dir_default_dense,324.18187712862317,static,direct,load,2208,summer,xgb,dir,default_dense,,
c_load,summer_xgb_dir_default_nogenlags_noloadlags,367.9036062952899,static,direct,load,2208,summer,xgb,dir,default_nogenlags_noloadlags,,
c_load,summer_xgb_dir_default_noloadfc,346.5051033967392,static,direct,load,2208,summer,xgb,dir,default_noloadfc,,
c_load,summer_xgb_dir_default_noloadlags,338.22847730978265,static,direct,load,2208,summer,xgb,dir,default_noloadlags,,
c_load,summer_xgb_dir_default_nometeo,332.0951731431159,static,direct,load,2208,summer,xgb,dir,default_nometeo,,
c_load,summer_xgb_dir_lags_calendar_loadfc,295.12657237318837,static,direct,load,2208,summer,xgb,dir,lags_calendar_loadfc,,
c_load,summer_xgb_rec_default,374.1417170289855,static,recursive,load,2208,summer,xgb,rec,default,,
c_load,summer_xgb_rec_default_dense,390.11303650362316,static,recursive,load,2208,summer,xgb,rec,default_dense,,
c_load,summer_xgb_rec_default_nogenlags_noloadlags,352.0573240489131,static,recursive,load,2208,summer,xgb,rec,default_nogenlags_noloadlags,,
c_load,summer_xgb_rec_default_noloadfc,374.1417170289855,static,recursive,load,2208,summer,xgb,rec,default_noloadfc,,
c_load,summer_xgb_rec_default_noloadlags,406.24278994565213,static,recursive,load,2208,summer,xgb,rec,default_noloadlags,,
c_load,summer_xgb_rec_default_nometeo,351.0361042572464,static,recursive,load,2208,summer,xgb,rec,default_nometeo,,
c_load,summer_xgb_rec_lags_calendar_loadfc,321.9331603713768,static,recursive,load,2208,summer,xgb,rec,lags_calendar_loadfc,,
d_fill,q1_lgbm_dir_default_dense,18.62670773148148,static,direct,price,2160,q1,lgbm,dir,default_dense,,
d_fill,q1_lgbm_rec_default_dense_seed123,19.85419625,static,recursive,price,2160,q1,lgbm,rec,default_dense,seed123,
d_fill,q1_lgbm_rec_default_dense_seed7,19.969880138888886,static,recursive,price,2160,q1,lgbm,rec,default_dense,seed7,
d_fill,q1_xgb_dir_default_dense,18.219855416666665,static,direct,price,2160,q1,xgb,dir,default_dense,,
d_fill,summer_lgbm_dir_default_dense,18.873391983695655,static,direct,price,2208,summer,lgbm,dir,default_dense,,
d_fill,summer_lgbm_rec_default_dense_seed123,14.079694202898551,static,recursive,price,2208,summer,lgbm,rec,default_dense,seed123,
d_fill,summer_lgbm_rec_default_dense_seed7,14.12633509963768,static,recursive,price,2208,summer,lgbm,rec,default_dense,seed7,
d_fill,summer_xgb_dir_default_dense,19.2874772192029,static,direct,price,2208,summer,xgb,dir,default_dense,,
e_ss,q1_lgbm_rec_ss_default,21.31707157407407,static,recursive,price,2160,q1,lgbm,rec+ss,default,,
e_ss,q1_lgbm_rec_ss_default_dense,19.823386944444444,static,recursive,price,2160,q1,lgbm,rec+ss,default_dense,,
e_ss,summer_lgbm_rec_ss_default,15.295253351449276,static,recursive,price,2208,summer,lgbm,rec+ss,default,,
e_ss,summer_lgbm_rec_ss_default_dense,14.288055253623188,static,recursive,price,2208,summer,lgbm,rec+ss,default_dense,,
f_conformal,q1_qlgbm_weekly_dense,,weekly,,price,2160,q1,qlgbm,weekly,dense,,NO-MAE
f_conformal,q1_splitconformal_weekly_dense,,,,,2160,q1,splitconformal,weekly,dense,,NO-MAE
