feature,category,CL — LightGBM,CL — RandomForest,CL — XGBoost,Direct — LGBM Dense,MIMO — RF (two-stage),MIMO — XGB Dense,OL — LGBM Daily-Opt,OL — XGB Dense+SS,avg
residual_load_lag6,Residual load lag,0.0007635895332118249,0.0012542994245929968,0.001652395618384949,0.011730510752688172,0.0006788676282534465,0.001787264983940678,0.012659185951898877,0.001122047973104531,0.0039560202332594345
y_lag5,Price lag (intraday dense),0.0,0.0,0.0,0.009300403225806452,0.0,0.020411436177004097,0.0,0.001321850440273551,0.0038792112303855123
gen_solar_lag1,Solar gen lag,0.0013193601133124936,0.0018907358386182124,0.004146098415195038,0.003670698924731183,0.0033915019948235017,0.003530132298497873,0.010123564251518535,0.0024783475722467974,0.0038188049261179548
co2_lag48,CO₂ price lag,0.00035762889509572885,0.005553102216457891,0.0016603590080717125,0.011780241935483871,0.0014814854401592622,0.002816980180291732,0.00514693360077204,0.00133484809548156,0.0037664474214767246
w_patras_temperature_2m,Other,0.0005604487558864993,0.00145284410344224,0.0015870073473133737,0.010118951612903226,0.002654334817041636,0.002748696110042294,0.007909625901186443,0.001723449219972925,0.00359441973347358
residual_load_lag3,Residual load lag,0.0006626796429869025,0.001412485894937519,0.0018235043631502606,0.008186827956989247,0.0004496044369997975,0.0017584799452665502,0.01264026340189604,0.0013736943777894618,0.003538442502501972
gen_wind_lag1,Wind gen lag,0.0003602551354237166,0.0011983915394490957,0.001438224848254037,0.011145833333333332,0.0007614894591170116,0.002198591597133608,0.009234204401385131,0.0014007120476358084,0.0034672127952164672
load_lag12,Load / Load-FC,0.0006176349831862824,0.0009546213041483345,0.0015035953077822736,0.01124260752688172,0.0006878174981472133,0.002344722043478131,0.008477302401271595,0.0012995935753581176,0.0033909868300317086
co2_price,CO₂ price lag,0.00030226527435675923,0.00846917521913203,0.000762530854982364,0.009450940860215055,0.0005803502538115527,0.0013687249501271818,0.004654947300698242,0.0011726424248807794,0.003345197142275495
load_lag3,Load / Load-FC,0.000594397379768385,0.0011706087066579356,0.0017405174723529673,0.00791263440860215,0.0006249380198382158,0.0024216871701557502,0.010804776051620717,0.0012699851987522028,0.0033174430509685404
residual_load_lag12,Residual load lag,0.0006105865871493693,0.000818973518433205,0.0015203140605501296,0.013348790322580645,0.0009501719011029236,0.0020538951740984844,0.005865990500879899,0.0011955476067704212,0.003295533708945635
dow_sin,Calendar / Time,0.00017210883592546768,0.0007274244580983809,0.0022767198983073703,0.007963709677419354,0.0024581274372550816,0.00639757444530047,0.0041251159006187674,0.002130255257394753,0.0032813794887899556
residual_load_lag168,Residual load lag,0.0004931985997524436,0.0024546793074226685,0.00134333868235342,0.01072983870967742,0.0007932678106096724,0.0017470983541632006,0.006698582701004787,0.0015145908042631117,0.0032218243711558407
residual_load_lag24,Residual load lag,0.00042604340396587787,0.0028858401050791604,0.001040431618216967,0.009387096774193549,0.0008251306955117127,0.0018114477175773585,0.00783393570117509,0.0013079953861581894,0.003189740175234738
gen_wind_lag2,Wind gen lag,0.00034226140148688406,0.0011265185510636422,0.0013665063779629975,0.011442876344086023,0.000604825320334394,0.0018884289920299343,0.007304104301095616,0.0011954349167307313,0.003158869525598778
dow_cos,Calendar / Time,0.00019601861438736347,0.00041411459767131824,0.0017631532663840224,0.005280241935483871,0.0013761732211022262,0.009745168681966473,0.0035763619505364544,0.0027571639180300526,0.0031385495231952224
w_gr_mean_shortwave_radiation,Other,0.000689859819183193,0.0015559239630359436,0.0051958502436060304,0.0020073924731182796,0.0022408292801100226,0.002131403198768425,0.008855753401328364,0.002029273340299455,0.003088285714931214
co2_lag24,CO₂ price lag,0.0003022862780011105,0.0048954904339446464,0.0018311630939552136,0.008261424731182796,0.0011079782972918332,0.0024737506476664507,0.0038034325505705148,0.0014515977705683632,0.0030158904753976165
load_lag168,Load / Load-FC,0.00043789285078736905,0.0019282753843597247,0.0011692476100243993,0.00969758064516129,0.0010644568238101471,0.0023563520406203174,0.006187673850928151,0.0012533272127302122,0.003011850802302701
w_thessaloniki_temperature_2m,Other,0.0006813381587966801,0.0014075035860978925,0.002631404536852465,0.007155913978494624,0.000646554172680768,0.0028568587330848995,0.004371109050655666,0.0029595424236270283,0.002838778080036253
residual_load_lag48,Residual load lag,0.0003711323911177579,0.0015452783843183972,0.001028334320661232,0.010286290322580645,0.0008908169121712495,0.0016853380771582466,0.005279391450791909,0.0010798767525491218,0.0027708073264185703
w_patras_shortwave_radiation,Other,0.0003962617974545965,0.0018861547933168776,0.0030724611907517086,0.002824596774193548,0.0018325401806438817,0.002486175208468744,0.007341949401101292,0.002088453771928244,0.0027410741397323616
w_heraklion_temperature_2m,Other,0.000544639363341617,0.0013279469938210513,0.001463680803313699,0.009433467741935484,0.0006074121215900649,0.0019716935990337203,0.0048441728007266255,0.0012529118428318505,0.002680740658324264
gen_solar_lag24,Solar gen lag,0.00044930363525272284,0.001922715988957591,0.0025216987012328944,0.0031377688172043007,0.0016842769224342513,0.0021326073794318244,0.006187673850928151,0.0027940722343351445,0.00260376469122211
load_lag1,Load / Load-FC,0.0003857215579841611,0.0018766564864726837,0.0015378945194865613,0.006571908602150537,0.0004833704464580626,0.0022922039156380047,0.00632013170094802,0.0011358847500130419,0.002575471497393884
w_gr_mean_wind_gusts_10m,Other,0.00045899303716809075,0.001144205824813028,0.0012867351110225536,0.008560483870967741,0.0004380450954379857,0.0014438870581626928,0.005638919900845838,0.001425340525659264,0.002549576303009649
load_lag2,Load / Load-FC,0.0004191199664368739,0.0012414084283605387,0.0016789147945250758,0.0063561827956989244,0.0005170248589528914,0.0023700588579603564,0.006622892500993434,0.00116127621411101,0.0025458598021298883
w_gr_mean_cloud_cover,Other,0.0003204166876509848,0.0006501139682478289,0.0008146301431166011,0.011076612903225806,0.0007348112608527692,0.0015689365915776878,0.00408727080061309,0.0010293762479443916,0.002535271075403645
w_patras_wind_gusts_10m,Other,0.000362205729613658,0.0006113499275265188,0.0013720845342415,0.009834677419354839,0.0003804002324225317,0.0015889872386300231,0.004806327700720949,0.0011274814258136765,0.002510439276040462
residual_load_lag2,Residual load lag,0.00031860056497183656,0.0030224977972118953,0.0012086621107110186,0.0061586021505376344,0.000430648554437463,0.0016561553952815105,0.005809222850871383,0.001438867754204618,0.0025054071472784202
w_heraklion_wind_speed_10m,Other,0.0004887078957374799,0.0008636725685712177,0.0012497333177587569,0.008655913978494623,0.0006877441766086726,0.0015670731849138553,0.0048441728007266255,0.001437281711745179,0.002474287454319551
load_lag48,Load / Load-FC,0.0003585643533333453,0.001071451098584165,0.001370375324572893,0.008725806451612902,0.0007157529944559685,0.001812122858522108,0.00421972865063296,0.001196603959477185,0.0024338007113989405
w_larissa_temperature_2m,Other,0.0002680350361150365,0.0009560889922656103,0.001910028649737657,0.008028225806451614,0.0006104409710562624,0.001878361666826582,0.004522489450678373,0.0012799872546820053,0.0024317072284766425
