feature,category,CL — LightGBM,CL — RandomForest,CL — XGBoost,Direct — LGBM Dense,MIMO — RF,MIMO — XGB Dense,OL — LGBM-SS Daily,avg
residual_load_lag3,Residual load lag,7.208118401397301e-05,0.0022116653843601494,0.00020936023018878528,0.008255376344086022,0.00031228285733809276,0.0006325385781854789,0.013390373661158514,0.003583382605618717
is_holiday,Calendar / Time,0.00015791850386547175,0.0006082570817770953,0.0018584035919077362,0.008790322580645162,0.0018191232916108613,0.008844742129657654,0.00291469807018781,0.0035704950356645416
wind_onshore_fc_dayahead,Other,2.6291717704154228e-05,0.00021188952199745713,0.0001060508908110144,0.01594959677419355,0.0002494793023922786,0.0003982566791676026,0.005884242609438294,0.003260829642243479
w_heraklion_temperature_2m,Other,4.053644351892025e-05,0.0010587353618218634,0.0001875572725469229,0.011610887096774195,0.0002797924531554072,0.0006812113555762726,0.008062430952213056,0.003131592990800948
w_gr_mean_cloud_cover,Other,4.3321663638311304e-05,0.00016483029854586116,0.00019469303624990224,0.011758736559139785,0.0004683222957232062,0.0012305538434174334,0.00666776359604792,0.0029326030418232027
w_larissa_relative_humidity_2m,Other,4.612405839953031e-05,0.0009475681931621531,0.0002975101789753609,0.00801209677419355,0.00048168913390007906,0.0008818337342341283,0.007224063496540755,0.002555840795629365
w_gr_mean_relative_humidity_2m,Other,4.4373141168606674e-05,0.0004119475101093753,0.00016897754923298337,0.007941532258064517,0.0004574867940463378,0.0005870543576473611,0.0075766479405150865,0.0024554313643977525
w_patras_relative_humidity_2m,Other,3.671137940017151e-05,0.00018038516384595175,0.0001812544167271725,0.008980510752688173,0.0002506161080253026,0.000630165845963048,0.0059312538686348715,0.002312985362183527
w_heraklion_relative_humidity_2m,Other,1.9914155885406914e-05,0.0002839741408089679,0.00011604282409532772,0.008819892473118282,0.00022323783236912763,0.00048061877924082154,0.004944017425506742,0.002126813947289239
w_patras_wind_gusts_10m,Other,2.5696538131810555e-05,0.00012763243789479332,0.00015993359308931343,0.008729838709677421,0.00017676121193712982,0.0007769119018328526,0.004795148438050913,0.0021131318329448904
solar_fc_dayahead,Other,8.5343434938387e-05,0.0007690111596903544,0.00018115993115165656,0.0042211021505376345,0.00028707745585568437,0.0003170566174349723,0.008657906902036371,0.0020740939502350087
w_athens_relative_humidity_2m,Other,2.9583583265776058e-05,0.00022219729699047376,0.00016972553214798325,0.007911962365591399,0.00026554108508670455,0.0004966443299474296,0.0052417554004184005,0.0020482013704925953
w_gr_mean_wind_gusts_10m,Other,3.16650018827057e-05,0.00022731572251674526,0.00020596622915384266,0.007340053763440861,0.00028293759702468135,0.0009680036909623372,0.005226084980686207,0.0020402895693810547
w_patras_wind_speed_10m,Other,2.0878509584766232e-05,0.0001346698412393132,0.00010197119632757364,0.007878360215053764,0.0001869288490310951,0.0005454315648211878,0.0051320624622930525,0.0020000432340501074
w_thessaloniki_wind_gusts_10m,Other,1.4849844801394023e-05,0.00012360180636133866,0.00013547776337616564,0.007262768817204303,0.00021456399912256024,0.0009490461839940498,0.004560092142068026,0.0018943429367039766
w_thessaloniki_relative_humidity_2m,Other,2.7405573444095288e-05,0.00032770869722588224,0.00014684515081734843,0.00694489247311828,0.0002576361082462861,0.0004504342980760825,0.0048108188577831055,0.0018522487369587257
w_thessaloniki_wind_speed_10m,Other,1.6017630669873722e-05,0.00012006657478207365,0.00012215506439780058,0.00669489247311828,0.0002310614984811943,0.000897785180525053,0.004849994907113587,0.001847424761298266
w_heraklion_wind_speed_10m,Other,1.7974717527313838e-05,0.00013304120294997942,0.00011789426407267129,0.006745295698924732,0.00013542185913863343,0.0004623734405788993,0.005069380783364282,0.0018116259952223588
w_gr_mean_wind_speed_10m,Other,2.3889288386257794e-05,0.00020667040460098496,0.0001441422929225766,0.006339381720430109,0.0003075286263726507,0.000907133148367842,0.0047089611295238545,0.0018053866586577535
w_larissa_cloud_cover,Other,1.7223061233238197e-05,9.81843560016241e-05,0.00011527562537831506,0.006395161290322581,0.0002952744901948358,0.0008641810568810195,0.0044425639940765815,0.0017468376962983135
w_heraklion_wind_gusts_10m,Other,1.9933282635529164e-05,0.0001334389767541844,0.0001331229144970204,0.0063534946236559154,0.00013044763998764503,0.0005302707149901262,0.004795148438050913,0.001727979512938762
w_athens_wind_gusts_10m,Other,1.8090648833453922e-05,0.00013471353006030883,0.0001758129032299792,0.005586693548387097,0.0001771821030802939,0.0005544800445471286,0.00499102868470332,0.0016625716375487972
w_gr_mean_shortwave_radiation,Other,0.00019344738952939455,0.0013123581538398686,0.0009455871925484523,0.0021115591397849465,0.0004567408723553842,0.0012181129818000752,0.0052887666596149775,0.001646653198496157
w_larissa_wind_gusts_10m,Other,1.966847082243619e-05,0.00026932495634200357,0.00011740197283292019,0.005410618279569893,0.00023670576146567378,0.0007168679431909307,0.004630609030862892,0.0016287423450123929
w_athens_wind_speed_10m,Other,2.2453646844694703e-05,0.00012932747355825271,0.00013675662920599262,0.0052177419354838715,0.00021005069981246013,0.0005082421778935827,0.004959687845238934,0.0015977514868625413
w_athens_cloud_cover,Other,2.619992346103501e-05,9.306420698162832e-05,0.00013763621962830286,0.005571908602150538,0.00019926774814735187,0.0007959768850027696,0.004199672488227597,0.0015748180105141748
w_heraklion_cloud_cover,Other,1.6110814419125187e-05,0.00012699505630015255,0.00016393862897962555,0.005890456989247312,0.00021761414621689374,0.0005474910221997432,0.0038940993034498428,0.0015509579944018134
w_patras_cloud_cover,Other,1.744128842072633e-05,9.064852691756556e-05,0.0001094074133922775,0.005774193548387097,0.00017481970726747066,0.0006812263343476896,0.0037373951061279178,0.0015121617035515349
w_larissa_wind_speed_10m,Other,1.68575210239357e-05,0.00015895914943078924,0.00010229211695588729,0.004811827956989248,0.00023574829936519966,0.00047092160181213985,0.004348541475683426,0.0014493068744658034
w_thessaloniki_cloud_cover,Other,1.2736930578924743e-05,8.37392946920966e-05,0.00010523428107110567,0.006050403225806453,0.00019000906648170018,0.000610580450530808,0.0029068628603217137,0.0014227951584975431
w_heraklion_shortwave_radiation,Other,5.3695658971854867e-05,0.0006038084460305502,0.00037519717085971355,0.0019361559139784948,0.00018580161604787954,0.0005412885842279244,0.006166310164617759,0.0014088939363905966
w_athens_shortwave_radiation,Other,7.934624552323986e-05,0.000672291055456084,0.0005451519393038777,0.0020530913978494625,0.00021634349292056946,0.0006848266303660305,0.00511639204256086,0.0013382061148543034
w_patras_shortwave_radiation,Other,2.885774648550432e-05,0.0006526150545911009,0.00021271917566367587,0.0023655913978494624,0.00017340532791302655,0.0005296677218214947,0.004826489277515298,0.001255620814548509
w_larissa_shortwave_radiation,Other,8.426388640540028e-05,0.0007687233306523628,0.00048246363395200936,0.0017405913978494627,0.0002576932535222423,0.0008306625003175673,0.0044974104631392555,0.0012374012094054716
